sample,rule,task_cost,HG_sample
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,1.115132,HG006
Ods10x_HG006_sup-PAY77227_0.,ont.sentdont.merge,0.01019,HG006
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.1-24,1.413616,HG006
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,3e-06,HG006
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,1.038094,HG006
Ods15x_HG006_sup-PAY77227_0.,ont.sentdont.merge,0.00846,HG006
Ods20x_HG006_sup-PAY77227_0.,ont.alignstats,0.039354,HG006
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.1-24,1.362879,HG006
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,0.000154,HG006
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,0.86216,HG006
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.merge,0.080348,HG006
Ods30x_HG006_sup-PAY77227_0.,ont.alignstats,0.053617,HG006
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.1-24,1.092862,HG006
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,9.1e-05,HG006
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,1.118194,HG006
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.merge,0.019473,HG006
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.1-24,3.297701,HG006
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,3e-06,HG006
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,0.994596,HG006
Ods5x_HG006_sup-PAY77227_0.,ont.sentdont.merge,0.016312,HG006
DAY_all.,final_multiqc2,0.00032,
all.,alignstats_smmary_compile,1.1e-05,
all.,alignstats_summary,2e-06,
Uds10x_HG006_408622-Z0116_0.,ug.alignstats,0.034893,HG006
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.1-24,0.543678,HG006
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.792397,HG006
Uds10x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.0051,HG006
Uds15x_HG006_408622-Z0116_0.,ug.alignstats,0.054501,HG006
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.1-24,0.742589,HG006
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.824506,HG006
Uds15x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.005654,HG006
Uds20x_HG006_408622-Z0116_0.,ug.alignstats,0.069845,HG006
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.1-24,1.002444,HG006
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.830806,HG006
Uds20x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.005686,HG006
Uds30x_HG006_408622-Z0116_0.,ug.alignstats,0.067697,HG006
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.1-24,1.090397,HG006
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.946805,HG006
Uds30x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.006405,HG006
Uds40x_HG006_408622-Z0116_0.,ug.alignstats,0.183781,HG006
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.1-24,2.157094,HG006
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.918437,HG006
Uds40x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.005815,HG006
Uds5x_HG006_408622-Z0116_0.,ug.alignstats,0.01989,HG006
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.1-24,0.303274,HG006
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.concat.fofn,3e-06,HG006
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.concordance,0.737429,HG006
Uds5x_HG006_408622-Z0116_0.,ug.sentdug.merge,0.003804,HG006
DAY_all.,final_multiqc2,0.000561,
all.,alignstats_smmary_compile,0.000627,
all.,alignstats_summary,5e-06,
