sample,normalized_rule,Total_runtime_user,Total_runtime_cpu,Total_cost,Total_snake_threads,Avg_cpu_efficiency,Avg_task_cost,Runtime_cpu_per_vcpu
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.alignstats,471.1344,25832.96,0.065121,32,1.7135,0.065121,807.28
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo,9088.6609,20939.52,7.583983,192,0.012,7.583983,109.06
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3758,0.0,3e-06,1,0.0,3e-06,0.0
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2644.3986,30375.36,0.945519,96,0.1197,0.945519,316.41
Ods20xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.8491,3249.28,0.006877,64,1.7598,0.006877,50.77
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,325.7965,25578.24,0.045032,32,2.4534,0.045032,799.32
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo,9184.7932,22882.56,7.664455,192,0.013,7.664455,119.18
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3897,0.0,3e-06,1,0.0,3e-06,0.0
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2659.8781,36199.68,0.941043,96,0.1418,0.941043,377.08
Ods20xUds20x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.367,3224.32,0.006927,64,1.7155,0.006927,50.38
Ods20xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,264.3295,25091.52,0.036536,32,2.9664,0.036536,784.11
Ods20xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo,9723.7169,31553.28,8.113902,192,0.0169,8.113902,164.34
Ods20xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4126,0.0,3e-06,1,0.0,3e-06,0.0
Ods20xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2691.4476,37425.600000000006,0.962342,96,0.1448,0.962342,389.8500000000001
Ods20xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.6704,3285.12,0.007073,64,1.73,0.007073,51.33
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,443.9645,25641.92,0.061366,32,1.8049,0.061366,801.31
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo,10704.0279,29767.68,8.931917,192,0.0145,8.931917,155.04
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4227,0.0,3e-06,1,0.0,3e-06,0.0
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2697.01,33431.04,0.964331,96,0.1291,0.964331,348.24
Ods20xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,30.4805,3239.68,0.007266,64,1.6607,0.007266,50.62
Ods20xUds5x_HG006_sup-PAY77227_0.,ont.alignstats,456.9743,24648.32,0.063164,32,1.6856,0.063164,770.26
Ods20x_HG006_sup-PAY77227_0.,ont.alignstats,286.7235,24974.4,0.039354,32,2.722,0.039354,780.45
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont,1643.3423,37013988.480000004,1.362879,192,117.3104,1.362879,192781.19000000003
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,21.0438,0.0,0.000154,1,0.0,0.000154,0.0
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,2411.2627,42985.92,0.86216,96,0.1857,0.86216,447.77
Ods20x_HG006_sup-PAY77227_0.,ont.sentdont.merge,290.6481,0.0,0.080348,64,0.0,0.080348,0.0
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.alignstats,472.342,35975.36,0.065288,32,2.3801,0.065288,1124.23
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo,10012.2516,27204.48,10.586565,192,0.0142,10.586565,141.69
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3789,0.0,3e-06,1,0.0,3e-06,0.0
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2740.9127,420.48,0.980029,96,0.0016,0.980029,4.38
Ods30xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.2682,3162.88,0.006738,64,1.7483,0.006738,49.42
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.alignstats,459.2983,35510.72,0.063485,32,2.4161,0.063485,1109.71
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo,10065.9864,21085.44,8.399506,192,0.0109,8.399506,109.82
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4354,0.0,3e-06,1,0.0,3e-06,0.0
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2664.6051,36884.159999999996,0.952744,96,0.1442,0.952744,384.21
Ods30xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,28.8938,3174.4,0.006887,64,1.7166,0.006887,49.6
Ods30xUds20x_HG006_sup-PAY77227_0.,ont.alignstats,432.0222,33856.96,0.059715,32,2.449,0.059715,1058.03
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.alignstats,455.9086,34601.28,0.063017,32,2.3717,0.063017,1081.29
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo,10850.4338,27469.44,9.054084,192,0.0132,9.054084,143.07
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4237,0.0,3e-06,1,0.0,3e-06,0.0
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2690.8941,40466.88,0.962144,96,0.1567,0.962144,421.53
Ods30xUds30x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.8148,3248.64,0.007107,64,1.7025,0.007107,50.76
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.alignstats,409.0616,36824.96,0.056541,32,2.8132,0.056541,1150.78
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo,11302.3258,24639.36,9.431163,192,0.0114,9.431163,128.33
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.4144,0.0,3e-06,1,0.0,3e-06,0.0
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2701.3932,851.52,0.965898,96,0.0033,0.965898,8.87
Ods30xUds40x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,29.8984,3331.84,0.007127,64,1.7412,0.007127,52.06
Ods30xUds5x_HG006_sup-PAY77227_0.,ont.alignstats,499.5734,36630.08,0.069052,32,2.2913,0.069052,1144.69
Ods30x_HG006_sup-PAY77227_0.,ont.alignstats,390.6399,37161.28,0.053617,32,2.9728,0.053617,1161.29
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont,1528.2415,35317904.64,1.092862,192,120.3654,1.092862,183947.42
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.concat.fofn,12.4157,0.01,9.1e-05,1,0.0008,9.1e-05,0.01
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.concordance,2696.6104,639.36,1.118194,96,0.0025,1.118194,6.66
Ods30x_HG006_sup-PAY77227_0.,ont.sentdont.merge,81.693,475.52,0.019473,64,0.091,0.019473,7.43
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo,5588.3307,28272.0,4.623723,192,0.0263,4.623723,147.25
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3605,0.0,3e-06,1,0.0,3e-06,0.0
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.concordance,2698.395,50184.0,1.114962,96,0.1937,1.114962,522.75
Ods5xUds10x_HG006_sup-PAY77227_0.,ont.sentdhuo.merge,31.8323,3116.8,0.008769,64,1.5299,0.008769,48.7
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo,5054.2719,25453.44,4.181848,192,0.0262,4.181848,132.57
Ods5xUds15x_HG006_sup-PAY77227_0.,ont.sentdhuo.concat.fofn,0.3901,0.0,3e-06,1,0.0,3e-06,0.0
