Name	X	Y
background: EUR	0.307	0.942
background: EUR	-0.054	0.794
background: EUR	0.671	1.731
background: EUR	0.411	1.015
background: EAS	0.608	-0.5
background: EAS	1.116	-0.891
background: EAS	0.563	-1.065
background: EAS	1.16	-1.945
background: EAS	-0.207	-0.653
background: EAS	1.265	-1.307
background: EAS	0.599	-0.765
background: EAS	0.852	-0.553
background: EAS	0.513	-0.908
background: EAS	0.777	-0.481
background: EAS	0.678	-1.66
background: EAS	1.029	-1.6
background: EAS	1.272	-0.657
background: EAS	0.919	-1.925
background: EAS	-0.026	-0.709
background: EAS	0.513	-1.29
background: EAS	0.526	-1.767
background: EAS	0.512	-1.426
background: EAS	0.768	-2.099
background: EAS	0.776	-1.588
background: EAS	0.978	-2.699
background: EAS	0.719	-0.959
background: EAS	-0.03	-0.961
background: EAS	0.994	-0.928
background: EAS	0.893	-1.467
background: EAS	0.383	-1.706
background: EAS	1.177	-1.118
background: EAS	0.734	-1.52
background: EAS	0.953	-1.821
background: EAS	1.15	-0.481
background: EAS	1.754	-0.783
background: EAS	0.667	-2.226
background: EAS	0.871	-1.215
background: EAS	0.996	-0.948
background: EAS	0.572	-0.58
background: EAS	0.717	-1.219
background: EAS	0.886	-1.007
background: EAS	1.379	-1.286
background: EAS	0.791	-1.529
background: EAS	1.191	-0.967
background: EAS	1.28	-0.476
background: EAS	0.826	-0.658
background: EAS	0.88	-1.748
background: EAS	0.607	-2.157
background: EAS	1.002	-0.948
background: EAS	0.72	-1.66
background: EAS	0.736	-0.105
background: EAS	0.581	-1.158
background: EAS	0.808	-0.559
background: EAS	0.896	-1.214
background: EAS	0.403	-1.195
background: EAS	-0.328	-0.988
background: EAS	0.417	-1.403
background: EAS	0.2	-1.165
background: EAS	0.853	-2.361
background: EAS	0.866	-0.336
background: AFR	-1.612	0.74
background: AFR	-1.025	0.251
background: AFR	-1.81	0.111
background: AFR	-0.75	-0.702
background: AFR	-0.541	0.266
background: AFR	-0.77	0.888
background: AFR	-1.914	-0.177
background: AFR	-1.34	0.345
background: AMR	0.264	-1.573
background: AMR	1.016	-0.481
background: AFR	-1.768	-0.343
background: AFR	-1.824	0.108
background: AFR	-1.628	-0.184
background: AFR	-1.99	-0.356
background: AFR	-0.957	0.757
background: AMR	0.942	0.901
background: AMR	0.399	0.217
background: AMR	0.792	-1.391
background: AMR	-0.094	-0.445
background: AMR	0.186	-0.357
background: AMR	1.524	-0.351
background: AMR	1.14	0.655
background: AMR	1.558	-0.273
background: AMR	1.97	-0.607
background: AMR	1.377	0.762
background: AMR	1.448	0.135
background: AMR	0.711	1.354
background: AMR	1.248	-0.122
background: AMR	1.466	0.226
background: AMR	0.371	0.74
background: AMR	1.531	-0.693
background: AMR	1.511	-0.251
background: AMR	0.509	0.56
background: AMR	1.513	1.068
background: AMR	0.064	-0.909
background: AMR	0.818	-0.783
background: AMR	0.652	-1.265
background: AMR	1.449	-0.086
background: AMR	1.438	-1.341
background: AFR	-1.141	0.375
background: AFR	-2.54	0.19
background: AMR	0.561	-0.293
background: AMR	0.742	-1.059
background: AMR	1.045	0.102
background: AMR	0.827	-0.366
background: AMR	1.403	1.365
background: AMR	0.219	-0.132
background: AMR	0.101	-0.466
background: AMR	1.183	-1.1
background: AMR	0.391	0.046
background: AMR	0.042	-0.473
background: AMR	1.332	1.822
background: AMR	0.492	-0.125
background: AMR	1.111	-1.244
background: AFR	-1.028	0.904
background: AFR	-1.59	0.359
background: AFR	-0.56	1.442
background: AFR	-0.83	0.454
background: AFR	-1.748	-0.518
background: AMR	1.124	1.021
background: AMR	1.158	0.266
background: AMR	1.042	-0.465
background: AMR	1.102	0.427
background: AMR	0.527	-0.427
background: AMR	0.778	-0.402
background: AMR	0.981	0.703
background: AFR	-1.322	0.183
background: AFR	-0.966	1.302
background: AFR	-0.902	0.45
background: AFR	-1.307	0.166
background: AFR	-1.67	0.009
background: EAS	0.84	-2.263
background: EAS	0.7	-1.357
background: EAS	0.901	-1.933
background: EAS	1.421	-2.542
background: EAS	-0.009	-1.345
background: EAS	0.766	-0.698
background: EAS	0.482	-1.181
background: EAS	0.894	-1.657
background: EAS	1.52	-1.617
background: EAS	0.749	-0.964
background: EAS	1.439	-1.357
background: EAS	1.01	-1.018
background: EAS	1.461	-1.581
background: EAS	1.192	-0.901
background: EAS	0.485	-1.955
background: EAS	0.858	-1.534
background: EAS	1.019	0.027
background: AFR	-1.95	0.578
background: AFR	-1.228	-0.412
background: AFR	-0.956	-0.538
background: AFR	-1.477	0.785
background: EAS	0.854	-1.878
background: EAS	0.692	-1.098
background: EAS	1.334	-1.21
background: EAS	0.364	-0.614
background: EAS	1.112	-1.085
background: EAS	0.489	-0.093
background: EAS	1.231	-0.802
background: EAS	0.575	-0.5
background: EAS	0.968	-0.356
background: EAS	1.481	-0.701
background: EAS	0.427	-1.717
background: EAS	0.508	-1.857
background: EAS	1.28	-1.877
background: EAS	0.426	-1.603
background: EAS	0.156	-2.079
background: EAS	1.097	-0.996
background: EAS	2.235	-0.471
background: EAS	0.986	-1.414
background: EAS	1.51	-0.107
background: EAS	0.089	-1.809
background: EAS	1.597	-1.931
background: AMR	1.436	0.194
background: AMR	1.535	0.699
background: AFR	-2.221	-0.608
background: AMR	1.481	-1.029
background: AMR	0.877	-0.018
background: AMR	1.304	0.622
background: AFR	-1.827	-0.882
background: AFR	-0.128	0.298
background: AFR	-1.849	-0.14
background: EAS	1.477	-0.964
background: EAS	-0.031	-1.787
background: EAS	0.803	-1.504
background: EAS	0.721	0.21
background: EAS	0.838	-1.971
background: EAS	1.144	-0.926
background: EAS	0.566	-1.237
background: EAS	1.199	-1.307
background: EAS	0.036	-1.472
background: EAS	0.937	-2.346
background: EAS	0.346	-0.788
background: EAS	0.497	-0.677
background: EAS	0.219	-0.678
background: EAS	1.122	-1.171
background: EAS	0.985	-1.335
background: EAS	1.395	-2.369
background: EAS	-0.118	-0.388
background: AFR	-2.08	-0.121
background: AFR	-1.828	0.238
background: AMR	1.234	0.847
background: AMR	0.948	0.662
background: AMR	1.893	0.05
background: EAS	0.379	0.292
background: EAS	0.967	-1.698
background: EAS	0.999	-1.517
background: EAS	0.533	-0.255
background: EAS	0.502	-1.114
background: EAS	0.677	-0.989
background: EAS	0.91	-1.404
background: EAS	0.85	-0.799
background: EAS	1.537	-1.208
background: EAS	0.114	-0.2
background: EAS	0.472	-1.761
background: EAS	1.574	-1.185
background: EAS	0.988	-1.088
background: EAS	1.223	-1.216
background: EAS	0.68	-0.939
background: EAS	0.405	-0.988
background: EAS	1.344	-1.72
background: EAS	1.355	-1.573
background: EAS	0.383	-1.067
background: EAS	1.419	-1.564
background: EUR	-0.121	1.025
background: EUR	0.152	1.529
background: EUR	0.421	0.702
background: EUR	0.599	0.655
background: EUR	1.03	0.669
background: EUR	1.102	1.172
background: EUR	0.907	1.067
background: EUR	0.629	0.488
background: EUR	0.14	1.334
background: EUR	1.454	1.073
background: EUR	0.054	0.762
background: EUR	1.021	1.276
background: EUR	0.675	0.339
background: EUR	1.041	1.532
background: EAS	0.509	-1.174
background: AMR	0.468	-0.381
background: AMR	0.605	1.455
background: AFR	-1.109	-1.889
background: AFR	-2.149	0.066
background: AMR	0.814	-0.667
background: AMR	1.293	0.817
background: AMR	1.349	0.414
background: AMR	1.564	-0.912
background: AMR	1.063	0.547
background: AMR	1.671	-0.507
background: AMR	1.214	0.861
background: AMR	0.124	-1.213
background: AMR	2.357	-0.149
background: AMR	0.792	-1.2
